id,race,region,sex,degree,sibs,wrkstat,childs,hompop,earnrs,adults,educ,marital,happy,income,age,sei,maeduc,pasei,agekdbrn,paeduc,hapunhap,trust
1,3,1,1,1,0,8,5,2,0,1,12,2,3,7,49,28.4,12,28.4,20,12,2,2
2,3,1,1,4,1,1,2,1,2,1,20,1,2,12,48,76.4,12,-1,33,97,0,0
3,2,1,1,1,1,1,1,2,1,2,13,1,2,12,47,37.8,16,-1,22,97,2,2
4,2,1,1,1,2,4,1,3,2,3,10,3,3,12,32,35.1,12,-1,26,97,2,1
6,2,1,1,3,3,5,2,2,2,2,16,1,1,13,72,87.9,12,36.4,25,98,1,2
11,2,1,1,4,4,1,2,2,2,2,17,1,2,12,62,73.9,12,27.7,31,6,1,1
12,2,1,1,4,8,1,0,1,1,1,19,5,3,12,40,73.3,8,36.4,0,8,3,2
14,2,1,1,1,7,5,4,2,0,2,16,1,1,12,71,63.2,15,45.9,22,12,1,2
17,1,1,1,1,3,1,0,2,2,2,15,5,2,12,26,54.5,12,84.7,0,16,0,0
19,1,1,1,3,0,1,0,1,1,1,16,5,2,12,36,81,12,63.5,0,12,2,2
20,3,1,1,2,2,2,2,4,2,2,14,1,3,12,37,54.2,2,27.5,30,4,0,0
21,1,1,1,1,4,5,3,2,1,2,12,1,1,12,52,63.5,12,33.1,21,98,1,2
27,2,1,1,1,3,1,2,2,1,2,14,4,2,12,32,28.4,12,-1,25,97,2,1
28,3,1,1,4,2,1,0,2,2,2,18,5,2,12,42,76.4,18,-1,0,20,2,1
29,2,1,1,2,6,1,5,1,1,1,14,4,2,12,41,63.5,12,28.4,23,97,2,2
30,1,1,1,4,1,1,0,1,1,1,18,5,1,12,45,97.2,12,86.7,0,16,0,0
33,3,1,1,0,7,1,2,3,1,2,10,4,2,13,49,32.3,0,37.3,25,3,0,0
35,1,1,1,3,1,9,9,1,1,1,16,9,3,13,43,-1,12,54.2,99,12,0,0
46,3,1,1,4,2,1,2,4,1,2,18,1,1,12,38,63.5,12,85.1,31,12,0,0
50,1,1,1,4,2,1,2,1,1,1,18,3,2,12,44,-1,14,63.5,29,18,2,2
54,1,1,1,1,1,2,0,1,1,1,15,5,2,9,22,76.4,14,93.3,0,18,2,2
56,2,1,1,1,1,1,0,2,3,2,17,5,2,12,25,40.1,13,29.2,0,12,2,2
57,2,1,1,3,0,1,2,3,1,2,16,3,2,12,50,64.1,12,29.2,22,12,2,2
58,2,1,1,1,4,4,0,2,2,2,12,5,3,12,24,38.1,13,-1,0,97,0,0
60,2,1,1,1,2,1,0,4,2,2,14,5,2,12,27,45.3,12,36.1,0,12,3,2
61,1,1,1,4,0,1,1,3,2,3,20,1,2,12,65,63.2,12,34.3,42,12,0,0
62,1,1,1,4,2,8,1,2,2,2,20,1,1,12,43,85.1,18,86.6,35,19,0,0
63,2,1,1,1,2,1,0,2,1,2,12,5,2,9,26,29.2,13,69.2,0,16,2,2
64,3,1,1,1,4,1,2,1,1,1,9,5,2,11,43,63.5,98,32.4,16,98,0,0
66,1,1,1,2,2,1,0,1,1,1,14,3,3,13,43,83.9,12,-1,0,12,2,3
67,3,1,1,1,5,1,0,1,1,1,12,5,3,8,50,27.5,6,37.3,0,6,0,0
69,1,1,1,3,1,8,2,4,2,2,16,1,2,12,38,80.3,12,29.2,32,12,2,1
72,1,1,1,1,3,1,2,2,2,2,12,4,3,12,58,32.3,9,31.5,32,9,3,2
74,1,1,1,1,21,1,2,1,1,1,12,2,2,12,61,29.4,13,-1,21,97,2,2
77,1,1,1,2,1,5,0,1,0,1,14,5,3,13,68,37.7,6,27.7,0,6,0,0
81,1,1,1,4,1,1,1,1,1,1,19,5,2,13,46,86.6,98,29.3,38,12,0,0
83,2,1,1,3,2,1,0,2,2,2,16,3,3,12,50,83.7,16,38.2,0,12,2,2
85,3,1,1,0,8,1,3,5,3,2,11,1,2,7,60,29.2,98,49.7,30,98,2,2
87,1,1,1,2,7,5,2,1,0,1,15,3,2,12,70,38.9,8,38.1,24,0,1,3
88,1,1,1,1,2,1,0,2,1,2,13,5,2,13,40,29.5,16,83.7,0,12,2,2
89,1,1,1,1,6,1,3,5,4,4,12,1,2,12,54,31.5,12,-1,25,97,0,0
90,1,1,1,3,2,1,2,4,2,2,16,1,2,12,43,81,14,52.4,28,13,2,1
91,1,1,1,2,2,1,0,3,1,3,15,5,2,12,33,38.1,12,48.9,0,15,0,0
94,1,1,1,1,3,1,2,2,2,2,15,1,2,12,57,56.5,12,-1,40,97,0,0
95,1,1,1,3,4,1,0,2,1,2,16,5,2,12,29,81,12,27.5,0,12,0,0
99,1,1,1,1,3,1,1,3,2,2,12,1,3,13,89,64.2,12,64.2,33,98,2,1
104,1,1,1,0,3,6,1,2,2,2,11,5,2,98,19,33.1,11,-1,16,97,2,2
105,1,1,1,1,7,5,8,2,0,2,12,1,2,12,83,27.7,12,64.1,23,10,0,0
107,3,1,1,0,2,1,0,4,9,4,11,5,1,10,21,28.6,4,-1,0,97,0,0
109,1,1,1,1,1,1,3,4,2,2,12,1,1,12,66,63.5,98,33.9,20,5,0,0
111,1,1,1,3,3,1,0,3,1,3,18,5,1,12,25,36.5,16,-1,0,97,1,1
114,1,1,1,3,3,5,2,2,2,2,17,1,2,13,71,86.6,12,-1,25,12,0,0
115,1,1,1,1,3,1,3,5,5,5,13,1,2,12,56,49.6,12,49.6,23,12,1,1
117,1,1,1,3,1,2,0,3,4,3,16,5,2,12,27,26.7,18,85.1,0,18,2,2
119,1,1,1,4,1,2,5,3,2,2,18,1,3,12,73,-1,12,63.5,23,12,3,1
124,1,1,1,4,4,1,0,2,2,2,18,1,1,12,27,68.8,12,63.5,0,14,1,1
125,3,8,1,1,3,1,1,1,1,1,12,4,1,9,58,27.5,12,-1,25,97,1,1
126,3,8,1,0,5,1,2,5,4,2,11,5,2,12,24,34.2,6,31.4,17,6,2,2
127,1,8,1,0,1,1,0,4,2,3,11,5,2,12,20,21.2,9,33.2,0,6,1,3
128,3,8,1,1,0,5,0,2,0,1,12,3,1,8,68,33.1,0,-1,0,97,0,0
129,1,8,1,1,3,1,2,4,2,2,12,1,1,12,41,47.8,4,50.7,25,0,1,2
132,1,8,1,1,4,2,1,3,3,2,12,1,2,11,47,34.2,12,-1,32,12,2,2
133,1,8,1,1,1,1,2,2,2,2,12,1,1,12,40,73.3,14,-1,34,97,1,1
135,1,8,1,3,2,1,0,2,1,2,16,5,1,12,27,67,14,64.2,0,14,1,3
136,1,8,1,4,3,1,3,2,2,2,18,1,2,12,61,83.7,12,84.7,24,20,0,0
137,1,8,1,1,3,1,2,2,2,1,14,3,2,12,47,73.3,12,63.2,27,14,0,0
142,2,8,1,2,6,2,0,5,2,3,15,5,3,12,18,39,12,31.5,0,13,2,1
143,1,8,1,1,3,2,3,2,1,2,12,1,2,8,61,62.5,12,80,21,12,2,2
144,1,8,1,2,2,5,2,1,0,1,14,2,3,12,79,65.8,7,65.8,34,7,2,1
147,1,8,1,1,3,5,2,2,2,2,14,1,1,12,60,78,12,-1,31,97,1,1
150,3,8,1,1,8,1,2,4,2,2,13,5,2,12,28,31.5,14,50.7,20,14,1,2
157,3,8,1,1,1,6,0,3,1,3,12,5,2,98,25,-1,98,27.7,0,98,0,0
158,3,8,1,0,1,4,0,3,2,3,10,5,3,11,21,20.1,12,-1,0,6,4,2
