Country Code,Country,Pillar 1,Pillar 2,Pillar 3,Pillar 4,Pillar 5,Pillar 6,Pillar 7,Pillar 8,Pillar 9,Pillar 10,Pillar 11,Pillar 12
ALB,Albania,3.683275755,3.553719594,3.962740571,5.973239675,4.744914943,4.3374553,3.969118145,3.241333505,3.395936755,2.973965629,3.651701785,2.76467209
DZA,Algeria,3.485850282,3.075821612,5.346814512,5.582892528,3.749627715,3.505827143,3.23258621,2.771323746,2.630198211,4.74794871,3.287205595,2.759833425
ARG,Argentina,2.86340434,3.575732114,4.072237744,5.754923775,4.891032215,3.115493608,3.097084824,2.808223158,3.860657529,4.998476818,3.619593414,3.107859412
ARM,Armenia,3.77976578,3.718874279,4.71480302,5.351114439,4.264139122,4.461346024,4.303387095,3.530605628,3.666807867,2.813094825,3.650586506,3.015297268
AUS,Australia,5.314982202,5.662272428,5.620594286,6.543583448,5.84380008,4.790243131,4.511546077,5.358213238,5.647057106,5.134894706,4.695979015,4.533884
AUT,Austria,5.187206294,5.708467442,5.132887038,6.40733615,5.582001303,4.889117043,4.471815871,4.212617903,5.620215797,4.592613244,5.426085473,4.902790076
AZE,Azerbaijan,3.944031974,4.146040751,6.354025806,5.216539732,3.899502771,4.312739385,4.574515566,3.332913876,4.260362855,3.89564385,3.856079076,3.329694447
BHR,Bahrain,4.918851673,5.104660973,4.597137187,6.202013117,4.82383024,5.039128335,4.729756965,4.421008392,5.291112258,3.2709647,4.432596233,3.410039192
BGD,Bangladesh,2.941069083,2.562536273,4.97863721,5.237292495,2.862866006,4.065645337,3.686401961,3.567713947,2.62046994,4.682661224,3.426129377,2.654630995
BEL,Belgium,5.169440117,5.546263965,4.790954286,6.734652937,5.941498298,5.137826533,4.346259428,4.402778534,5.912465419,4.803916635,5.331737497,4.957601303
BEN,Benin,3.621976344,2.256951272,4.448515081,4.580238109,2.933645905,3.832937181,4.302633291,3.433836793,2.489374242,2.623452076,3.524393513,3.207215325
BTN,Bhutan,4.595101969,3.409509948,3.599299813,5.392564381,3.581022803,4.015100793,4.755362512,3.618569107,2.890279575,1.833076699,3.634267671,2.944243951
BOL,Bolivia,3.337763916,3.070095601,4.811585736,4.708653089,3.704033788,3.514720937,3.391911487,3.42984875,2.892578088,3.412118655,3.426134326,2.8909253
BIH,Bosnia and Herzegovina,3.175474692,3.083289493,4.3188681,6.025937331,3.765601792,3.693971857,3.355954677,3.341054637,3.598574391,3.125449314,3.313061164,2.786417175
