Series,Series,GPI 2016 Rank,GPI 2016 Score
ALB,Albania,54,1.867
DZA,Algeria,108,2.213
ARG,Argentina,67,1.957
ARM,Armenia,110,2.218
AUS,Australia,15,1.465
AUT,Austria,3,1.278
AZE,Azerbaijan,134,2.45
BHR,Bahrain,132,2.398
BGD,Bangladesh,83,2.045
BEL,Belgium,18,1.528
BEN,Benin,72,1.998
BTN,Bhutan,13,1.445
BOL,Bolivia,81,2.038
BIH,Bosnia and Herzegovina,60,1.915
BWA,Botswana,28,1.639
BRA,Brazil,105,2.176
BGR,Bulgaria,29,1.646
BDI,Burundi,138,2.5
KHM,Cambodia,104,2.161
CMR,Cameroon,130,2.356
CAN,Canada,8,1.388
CPV,Cape Verde,,
TCD,Chad,136,2.464
CHL,Chile,27,1.635
CHN,China,120,2.288
COL,Colombia,147,2.764
CRI,Costa Rica,33,1.699
CIV,Côte d'Ivoire,118,2.279
HRV,Croatia,26,1.633
CYP,Cyprus,71,1.994
CZE,Czech Republic,6,1.36
DNK,Denmark,2,1.246
DOM,Dominican Republic,99,2.143
ECU,Ecuador,76,2.02
EGY,Egypt,142,2.574
SLV,El Salvador,111,2.237
EST,Estonia,36,1.732
ETH,Ethiopia,119,2.284
FIN,Finland,11,1.429
FRA,France,46,1.829
GAB,Gabon,79,2.033
GMB,"Gambia, The",92,2.091
GEO,Georgia,85,2.057
DEU,Germany,16,1.486
GHA,Ghana,44,1.809
GRC,Greece,82,2.044
GTM,Guatemala,117,2.27
GIN,Guinea,101,2.148
GUY,Guyana,95,2.105
HTI,Haiti,89,2.066
HND,Honduras,111,2.237
HKG,Hong Kong SAR,,
HUN,Hungary,19,1.534
ISL,Iceland,1,1.192
IND,India,141,2.566
IDN,Indonesia,42,1.799
IRN,"Iran, Islamic Rep.",133,2.411
IRL,Ireland,12,1.433
ISR,Israel,144,2.656
ITA,Italy,39,1.774
JAM,Jamaica,92,2.091
JPN,Japan,9,1.395
JOR,Jordan,96,2.127
KAZ,Kazakhstan,75,2.019
KEN,Kenya,131,2.379
KOR,"Korea, Rep.",53,1.858
KWT,Kuwait,51,1.842
KGZ,Kyrgyz Republic,124,2.294
LAO,Lao PDR,52,1.852
LVA,Latvia,32,1.68
LBN,Lebanon,146,2.752
LSO,Lesotho,63,1.941
LBR,Liberia,72,1.998
LTU,Lithuania,37,1.735
LUX,Luxembourg,,
MKD,"Macedonia, FYR",94,2.092
MDG,Madagascar,38,1.763
MWI,Malawi,45,1.817
MYS,Malaysia,30,1.648
MLI,Mali,137,2.489
MLT,Malta,,
MRT,Mauritania,123,2.295
MUS,Mauritius,23,1.559
MEX,Mexico,140,2.557
MDA,Moldova,65,1.953
MNG,Mongolia,50,1.838
MNE,Montenegro,57,1.884
MAR,Morocco,91,2.086
MOZ,Mozambique,68,1.963
MMR,Myanmar,115,2.256
NAM,Namibia,55,1.873
NPL,Nepal,78,2.026
NLD,Netherlands,21,1.541
NZL,New Zealand,4,1.287
NIC,Nicaragua,69,1.975
NGA,Nigeria,149,2.877
NOR,Norway,17,1.5
OMN,Oman,74,2.016
PAK,Pakistan,153,3.145
PAN,Panama,49,1.837
PRY,Paraguay,80,2.037
PER,Peru,85,2.057
PHL,Philippines,139,2.511
POL,Poland,22,1.557
PRT,Portugal,5,1.356
QAT,Qatar,34,1.716
ROU,Romania,31,1.649
RUS,Russian Federation,151,3.079
RWA,Rwanda,128,2.323
SAU,Saudi Arabia,129,2.338
SEN,Senegal,70,1.978
SRB,Serbia,48,1.834
SYC,Seychelles,,
SLE,Sierra Leone,43,1.805
SGP,Singapore,20,1.535
SVK,Slovak Republic,24,1.603
SVN,Slovenia,10,1.408
ZAF,South Africa,126,2.316
ESP,Spain,25,1.604
LKA,Sri Lanka,97,2.133
SWZ,Swaziland,90,2.074
SWE,Sweden,14,1.461
CHE,Switzerland,7,1.37
TWN,"Taiwan, China",41,1.787
TJK,Tajikistan,122,2.293
TZA,Tanzania,58,1.899
THA,Thailand,125,2.312
TTO,Trinidad and Tobago,84,2.056
TUN,Tunisia,64,1.949
TUR,Turkey,145,2.71
UGA,Uganda,101,2.148
UKR,Ukraine,156,3.287
ARE,United Arab Emirates,61,1.931
GBR,United Kingdom,47,1.83
USA,United States,103,2.154
URY,Uruguay,35,1.726
VEN,Venezuela,143,2.651
VNM,Vietnam,59,1.906
ZMB,Zambia,40,1.783
ZWE,Zimbabwe,127,2.322
