player_name,team_long_name,team_short_name,league,Age,height,weight,overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
Mustapha Oussalah,Mouscron-Peruwelz,MOP,Belgium Jupiler League,34,175.26,163,65.29411765,66.23529412,69.41176471,54.64705882,50.47058824,63.35294118,61.05882353,67.64705882,66.76470588,60.82352941,60.82352941,66.05882353,69.58823529,65.94117647,69.70588235,65.94117647,65.29411765,64.94117647,66.23529412,71.88235294,62.76470588,63.29411765,61.64705882,60.82352941,62.11764706,64.41176471,59.58823529,57.88235294,59.47058824,61.76470588,7.117647059,5.411764706,15.11764706,7.588235294,13.64705882
Frederic Maciel,Mouscron-Peruwelz,MOP,Belgium Jupiler League,22,175.26,150,65,73,63,62,51,54,53,72,52,55,46,67,76,78,78,70,76,70,40,64,51,47,64,17,65,50,67,20,27,30,14,13,10,9,11
Floriano Vanzo,Waasland-Beveren,WAA,Belgium Jupiler League,22,180.34,170,60.61538462,69.38461538,56.53846154,56.15384615,53.07692308,58.53846154,51.53846154,68,58.53846154,54.53846154,54.53846154,67.92307692,72,65.92307692,70.76923077,54.53846154,75,60.53846154,44.61538462,43,54,45.53846154,56.53846154,30.53846154,56.53846154,57.53846154,55.53846154,22.53846154,30.61538462,31.53846154,6.538461538,6.538461538,11.53846154,9.538461538,10.53846154
Dimitri Mohamed,Mouscron-Peruwelz,MOP,Belgium Jupiler League,27,182.88,154,58.7,60.5,50.2,54.4,56.4,57.4,50.4,60,48.4,45.4,53.4,56.8,78.8,77.6,71.2,58.6,65,56,55.8,63.4,62,52.2,57.3,50.6,53.4,53.2,45.4,44.3,47.1,44.9,13.4,9.4,12.4,13.4,10.4
Damien Marcq,Sporting Charleroi,CHA,Belgium Jupiler League,28,180.34,172,63.95,70.45,46.65,30.65,68.15,60.8,26.6,49.65,53.5,29.1,61.3,60.05,58.5,67.75,62.7,65.35,66.6,37.05,72.6,70.25,71,33.35,70.5,63,39.35,57.45,34.3,62.7,66.05,68.5,12.9,11.9,22.05,14.9,9.65
Christian Bruels,Standard Liege,STL,Belgium Jupiler League,28,177.8,163,69.64705882,72.76470588,67.05882353,57.52941176,53.64705882,68.58823529,63.29411765,73.23529412,76.29411765,68.82352941,66.11764706,71.47058824,75.35294118,77.76470588,78.47058824,66.11764706,68.41176471,69.88235294,45.76470588,69.05882353,59.23529412,66.41176471,50.64705882,34.52941176,65.64705882,69.64705882,62.82352941,27.70588235,36.58823529,33.17647059,6.176470588,7.176470588,14.17647059,7.176470588,8.176470588
Amara Baby,Sporting Charleroi,CHA,Belgium Jupiler League,27,182.88,165,60.41666667,67.04166667,57.66666667,52.5,42.04166667,64.125,35.29166667,62.70833333,56.29166667,49.29166667,46.70833333,63.54166667,79.125,83.5,71.5,58.33333333,59.20833333,56.16666667,56.45833333,73.91666667,69.04166667,38.29166667,37.29166667,45.16666667,65.29166667,55.29166667,56.54166667,39.79166667,46.16666667,47.41666667,5.958333333,6.625,16.54166667,8.458333333,7.541666667
Corentin Fiore,Standard Liege,STL,Belgium Jupiler League,21,182.88,165,58.88235294,68.88235294,30.64705882,25.47058824,59.70588235,61.94117647,28.23529412,35.82352941,23.23529412,32,63.52941176,55.17647059,63,66,67.23529412,52,66.11764706,49.47058824,58.94117647,58.47058824,52.70588235,35.47058824,58.17647059,59.58823529,25.52941176,56.52941176,38.70588235,60.23529412,61.52941176,61.23529412,6.470588235,12.47058824,12.47058824,15.47058824,13.47058824
Jelle Vossen,Club Bruges,CLB,Belgium Jupiler League,27,180.34,161,71.82608696,76.56521739,61.91304348,78.43478261,64.82608696,67.65217391,77.91304348,62.34782609,68.47826087,65.65217391,61.95652174,67.7826087,62.47826087,67.56521739,70.39130435,76.91304348,70.26086957,71,66.08695652,80.73913043,58.08695652,73.56521739,62.56521739,53.7826087,76.82608696,70.17391304,70.56521739,31.26086957,38.52173913,37.56521739,10.43478261,9.217391304,16.95652174,9.956521739,13.60869565
Yuji Ono,St.Truiden,STT,Belgium Jupiler League,24,170.18,152,67.07142857,73.92857143,56.35714286,54.35714286,60,66.64285714,61.35714286,70.14285714,59.35714286,57.35714286,61.35714286,72.35714286,81.28571429,76.71428571,84.64285714,64.14285714,85.14285714,60.35714286,62.57142857,62.5,41.07142857,65.5,58.92857143,29.85714286,64.35714286,69.14285714,60.35714286,20.78571429,20.35714286,21.92857143,14.35714286,8.357142857,8.357142857,10.35714286,12.35714286
