Series,Exports,GDP_per_ capita,Imports,Inflation,Internet_users,Life_expectancy,Population,Unemployment
Albania,28.1,4588.6,47,1.6,60.1,77.8,2893654,16.1
Algeria,30.5,5484.1,32,2.9,18.1,74.8,38934334,9.5
Argentina,14.8,12751.4,14.5,0,64.7,76.2,42980026,8.2
Armenia,28.5,3873.5,46.9,3,46.3,74.7,3006154,17.1
Australia,20.9,61995.8,21.4,2.5,84.6,82.3,23464086,6
Austria,53.2,51148.4,49.5,1.6,81,81.3,8541575,5
Azerbaijan,43.3,7886.5,26.2,1.4,61,70.8,9535079,5.2
Bahrain,71.2,24855.2,44.1,2.7,91,76.7,1361930,3.9
Bangladesh,19,1086.8,25.5,7,9.6,71.6,159077513,4.3
Belgium,84,47299.9,83.1,0.3,85,80.6,11231213,8.5
Benin,36.1,903.5,45.1,-1.1,5.3,59.5,10598482,1
Bhutan,36.3,2560.5,57.3,8.2,34.4,69.5,765008,2.8
Bolivia,43.3,3124.1,42,5.8,39,68.3,10561887,2.7
Bosnia and Herzegovina,33.9,4851.7,56.9,0,60.8,76.4,3817554,27.9
Botswana,62.3,7153.4,55.2,4.4,18.5,64.4,2219937,18.2
Brazil,11.2,11728.8,13.9,6.3,57.6,74.4,206077898,6.8
Bulgaria,65.1,7851.3,66,-1.4,55.5,75.4,7223938,11.6
Burundi,7.8,286,33.5,4.4,1.4,56.7,10816860,6.9
Cambodia,62.3,1094.6,66.7,3.9,9,68.2,15328136,0.4
Cameroon,21.7,1407.4,31.2,1.9,11,55.5,22773014,4.3
Canada,31.7,50185.5,32.6,1.9,87.1,82,35543658,6.9
Cape Verde,31.7,50185.5,,,,,,
Chad,34.2,1024.7,42.5,1.7,2.5,51.6,13587053,7
Chile,33.4,14566.1,32.5,4.4,72.4,81.5,17762647,6.4
China,23.9,7587.3,21.2,2,49.3,75.8,1364270000,4.7
Colombia,16,7918.1,21.4,2.9,52.6,74,47791393,10.1
Costa Rica,35.1,10415.5,37.2,4.5,49.4,79.4,4757606,8.3
Côte d'Ivoire,43.4,1545.9,,,,,,
Croatia,46.3,13480.7,44.2,-0.2,68.6,77.3,4238389,16.7
Cyprus,55.4,27245.7,52.7,-1.4,69.3,80.1,1153658,15.6
Czech Republic,83.8,19502.4,77.1,0.3,79.7,78.3,10525347,6.2
Denmark,53.4,61330.9,47.3,0.6,96,80.5,5643475,6.6
Dominican Republic,25.7,6147.3,30.6,3,49.6,73.5,10405943,15
Ecuador,28.6,6345.8,30.1,3.6,43,75.9,15902916,4.6
Egypt,28.6,6345.8,,,,,,
El Salvador,25.9,4102.1,43.7,1.1,29.7,72.8,6107706,6.2
