AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS
31,12,6,6,0.5,3,0.7,1.3,0.533,0.2,0.8,0.222,0.3,0.5,0.667,0.1,0.3,0.4,0.3,0.3,0.1,0,0,0.6,0.3,1.8,0.2,2.7
20,27,9,18,0.333,2.9,0.2,0.6,0.4,0,0.1,0.333,0.4,0.6,0.667,0.3,1,1.3,0.1,0.1,0.1,0,0.1,0.4,0.4,0.9,-1.2,3.1
25,2,1,1,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
30,40,21,19,0.525,3.9,0.8,1.5,0.541,0.1,0.4,0.294,0.2,0.3,0.7,0.3,0.7,0.9,0.2,0.2,0,0.1,0,0.6,0.2,2,0.3,3.6
31,9,4,5,0.444,3,0.4,1.2,0.364,0,0,0,0,0,0,0.3,0.6,0.9,0.1,0,0,0.2,0.1,0.4,0,0.9,0.7,2.8
25,32,17,15,0.531,3.1,0.3,0.9,0.3,0,0.5,0.063,0.1,0.1,1,0.3,0.7,0.9,0.1,0.1,0.1,0.1,0,0.3,0.1,0.7,-0.1,2.4
33,1,0,1,0,5.2,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,2,2.7
24,14,4,10,0.286,3.7,1.1,2.1,0.5,0.3,0.6,0.5,0.1,0.1,1,0,0.4,0.4,0.3,0.2,0.1,0,0.2,0.4,0.1,2.6,-1.5,3.4
23,20,7,13,0.35,2.3,0.3,0.6,0.545,0,0,0,0,0,0,0.2,0.3,0.5,0,0.1,0,0.2,0,0.5,0,0.6,-2.1,1.5
28,1,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,6,2,4,0.333,1.5,0.2,0.5,0.333,0,0.2,0,0,0,0,0,0.3,0.3,0,0.2,0.2,0,0,0.3,0,0.3,-2,1.1
24,37,20,17,0.541,2.4,0.3,0.5,0.556,0.1,0.2,0.333,0,0,1,0.1,0.2,0.3,0.2,0,0.1,0.1,0,0.3,0.1,0.6,0.4,1.7
29,27,15,12,0.556,1.9,0.1,0.1,0.75,0,0,0,0,0.1,0.5,0,0.2,0.2,0.1,0.1,0,0,0,0.2,0,0.3,-1.4,0.6
33,2,2,0,1,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,1
29,30,14,16,0.467,2.3,0.2,0.4,0.583,0,0,0,0.2,0.3,0.6,0.2,0.4,0.6,0.1,0.1,0.1,0.1,0,0.4,0.2,0.7,-0.3,2
33,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
22,36,20,16,0.556,3.5,0.7,1.1,0.625,0,0,0,0.6,1.6,0.375,0.6,0.9,1.5,0,0.1,0.2,0.1,0.1,0.2,0.9,2,0.8,4.8
32,22,20,2,0.909,4,0.5,0.8,0.556,0.2,0.3,0.571,0.3,0.5,0.6,0.1,0.5,0.6,0.5,0.2,0.1,0,0,0.4,0.3,1.4,3,3.1
40,7,2,5,0.286,2,0,0.4,0,0,0,0,0.3,0.3,1,0.1,0.1,0.3,0.4,0.3,0,0,0.1,0.3,0.3,0.3,-2.6,1
24,24,11,13,0.458,2.1,0.2,0.3,0.833,0,0,1,0,0.1,0,0.3,0.3,0.6,0,0,0.1,0.1,0,0.2,0,0.5,-1.7,1.6
30,7,3,4,0.429,1,0.1,0.4,0.333,0,0,0,0.7,0.7,1,0.1,0.1,0.3,0,0,0,0,0,0.1,0.6,1,0.6,1.3
31,16,14,2,0.875,2.5,0.2,0.3,0.6,0,0,0,0.3,0.5,0.625,0.2,0.7,0.9,0.2,0.1,0.1,0.1,0,0.5,0.4,0.7,0.4,2.5
26,7,4,3,0.571,3.7,0.3,1.4,0.2,0.1,0.7,0.2,0.3,0.3,1,0.4,1,1.4,0.1,0.3,0,0,0.3,0.4,0.3,1,1.1,2.6
21,49,20,29,0.408,4.1,0.8,2,0.394,0,0.2,0,1.1,1.5,0.767,0.3,0.4,0.7,0.3,0.4,0.1,0,0.2,0.6,0.9,2.7,-0.9,4
23,4,1,3,0.25,3.6,0,0.3,0,0,0.3,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0.8,0,0,0.5,0.3
